CALENDAR_NR;C_DATE;C_SHIFT;CALENDAR
1008;01.11.2023;1;11,98
1008;01.11.2023;2;0
1008;02.11.2023;1;11,98
1008;02.11.2023;2;0
1008;03.11.2023;1;11,98
1008;03.11.2023;2;0
1008;04.11.2023;1;11,98
1008;04.11.2023;2;0
1008;05.11.2023;1;11,98
1008;05.11.2023;2;0
1008;06.11.2023;1;11,98
1008;06.11.2023;2;0
1008;07.11.2023;1;11,98
1008;07.11.2023;2;0
1008;08.11.2023;1;11,98
1008;08.11.2023;2;0
1008;09.11.2023;1;11,98
1008;09.11.2023;2;0
1008;10.11.2023;1;11,98
1008;10.11.2023;2;0
1008;11.11.2023;1;11,98
1008;11.11.2023;2;0
1008;12.11.2023;1;11,98
1008;12.11.2023;2;0
1008;13.11.2023;1;11,98
1008;13.11.2023;2;0
1008;14.11.2023;1;11,98
1008;14.11.2023;2;0
1008;15.11.2023;1;11,98
1008;15.11.2023;2;0
1008;16.11.2023;1;11,98
1008;16.11.2023;2;0
1008;17.11.2023;1;11,98
1008;17.11.2023;2;0
1008;18.11.2023;1;11,98
1008;18.11.2023;2;0
1008;19.11.2023;1;11,98
1008;19.11.2023;2;0
1008;20.11.2023;1;11,98
1008;20.11.2023;2;0
1008;21.11.2023;1;11,98
1008;21.11.2023;2;0
1008;22.11.2023;1;11,98
1008;22.11.2023;2;0
1008;23.11.2023;1;11,98
1008;23.11.2023;2;0
1008;24.11.2023;1;11,98
1008;24.11.2023;2;0
1008;25.11.2023;1;11,98
1008;25.11.2023;2;0
1008;26.11.2023;1;11,98
1008;26.11.2023;2;0
1008;27.11.2023;1;11,98
1008;27.11.2023;2;0
1008;28.11.2023;1;11,98
1008;28.11.2023;2;0
1008;29.11.2023;1;11,98
1008;29.11.2023;2;0
1008;30.11.2023;1;11,98
1008;30.11.2023;2;0
1008;01.12.2023;1;11,98
1008;01.12.2023;2;0
1008;02.12.2023;1;11,98
1008;02.12.2023;2;0
1008;03.12.2023;1;11,98
1008;03.12.2023;2;0
1008;04.12.2023;1;11,98
1008;04.12.2023;2;0
1008;05.12.2023;1;11,98
1008;05.12.2023;2;0
1008;06.12.2023;1;11,98
1008;06.12.2023;2;0
1008;07.12.2023;1;11,98
1008;07.12.2023;2;0
1008;08.12.2023;1;11,98
1008;08.12.2023;2;0
1008;09.12.2023;1;11,98
1008;09.12.2023;2;0
1008;10.12.2023;1;11,98
1008;10.12.2023;2;0
1008;11.12.2023;1;11,98
1008;11.12.2023;2;0
1008;12.12.2023;1;11,98
1008;12.12.2023;2;0
1008;13.12.2023;1;11,98
1008;13.12.2023;2;0
1008;14.12.2023;1;11,98
1008;14.12.2023;2;0
1008;15.12.2023;1;11,98
1008;15.12.2023;2;0
1008;16.12.2023;1;11,98
1008;16.12.2023;2;0
1008;17.12.2023;1;11,98
1008;17.12.2023;2;0
1008;18.12.2023;1;11,98
1008;18.12.2023;2;0
1008;19.12.2023;1;11,98
1008;19.12.2023;2;0
1008;20.12.2023;1;11,98
1008;20.12.2023;2;0
1008;21.12.2023;1;11,98
1008;21.12.2023;2;0
1008;22.12.2023;1;11,98
1008;22.12.2023;2;0
1008;23.12.2023;1;11,98
1008;23.12.2023;2;0
1008;24.12.2023;1;11,98
1008;24.12.2023;2;0
1008;25.12.2023;1;11,98
1008;25.12.2023;2;0
1008;26.12.2023;1;11,98
1008;26.12.2023;2;0
1008;27.12.2023;1;11,98
1008;27.12.2023;2;0
1008;28.12.2023;1;11,98
1008;28.12.2023;2;0
1008;29.12.2023;1;11,98
1008;29.12.2023;2;0
1008;30.12.2023;1;11,98
1008;30.12.2023;2;0
1008;31.12.2023;1;11,98
1008;31.12.2023;2;0
1008;01.01.2024;1;11,98
1008;01.01.2024;2;0
1008;02.01.2024;1;11,98
1008;02.01.2024;2;0
1008;03.01.2024;1;11,98
1008;03.01.2024;2;0
1008;04.01.2024;1;11,98
1008;04.01.2024;2;0
1008;05.01.2024;1;11,98
1008;05.01.2024;2;0
1008;06.01.2024;1;11,98
1008;06.01.2024;2;0
1008;07.01.2024;1;11,98
1008;07.01.2024;2;0
1008;08.01.2024;1;11,98
1008;08.01.2024;2;0
1008;09.01.2024;1;11,98
1008;09.01.2024;2;0
1008;10.01.2024;1;11,98
1008;10.01.2024;2;0
1008;11.01.2024;1;11,98
1008;11.01.2024;2;0
1008;12.01.2024;1;11,98
1008;12.01.2024;2;0
1008;13.01.2024;1;11,98
1008;13.01.2024;2;0
1008;14.01.2024;1;11,98
1008;14.01.2024;2;0
1008;15.01.2024;1;11,98
1008;15.01.2024;2;0
1008;16.01.2024;1;11,98
1008;16.01.2024;2;0
1008;17.01.2024;1;11,98
1008;17.01.2024;2;0
1008;18.01.2024;1;11,98
1008;18.01.2024;2;0
1008;19.01.2024;1;11,98
1008;19.01.2024;2;0
1008;20.01.2024;1;11,98
1008;20.01.2024;2;0
1008;21.01.2024;1;11,98
1008;21.01.2024;2;0
1008;22.01.2024;1;11,98
1008;22.01.2024;2;0
1008;23.01.2024;1;11,98
1008;23.01.2024;2;0
1008;24.01.2024;1;11,98
1008;24.01.2024;2;0
1008;25.01.2024;1;11,98
1008;25.01.2024;2;0
1008;26.01.2024;1;11,98
1008;26.01.2024;2;0
1008;27.01.2024;1;11,98
1008;27.01.2024;2;0
1008;28.01.2024;1;11,98
1008;28.01.2024;2;0
1008;29.01.2024;1;11,98
1008;29.01.2024;2;0
1008;30.01.2024;1;11,98
1008;30.01.2024;2;0
1008;31.01.2024;1;11,98
1008;31.01.2024;2;0
1008;01.02.2024;1;11,98
1008;01.02.2024;2;0
1008;02.02.2024;1;11,98
1008;02.02.2024;2;0
1008;03.02.2024;1;11,98
1008;03.02.2024;2;0
1008;04.02.2024;1;11,98
1008;04.02.2024;2;0
1008;05.02.2024;1;11,98
1008;05.02.2024;2;0
1008;06.02.2024;1;11,98
1008;06.02.2024;2;0
1008;07.02.2024;1;11,98
1008;07.02.2024;2;0
1008;08.02.2024;1;11,98
1008;08.02.2024;2;0
1008;09.02.2024;1;11,98
1008;09.02.2024;2;0
1008;10.02.2024;1;11,98
1008;10.02.2024;2;0
1008;11.02.2024;1;11,98
1008;11.02.2024;2;0
1008;12.02.2024;1;11,98
1008;12.02.2024;2;0
1008;13.02.2024;1;11,98
1008;13.02.2024;2;0
1008;14.02.2024;1;11,98
1008;14.02.2024;2;0
1008;15.02.2024;1;11,98
1008;15.02.2024;2;0
1008;16.02.2024;1;11,98
1008;16.02.2024;2;0
1008;17.02.2024;1;11,98
1008;17.02.2024;2;0
1008;18.02.2024;1;11,98
1008;18.02.2024;2;0
1008;19.02.2024;1;11,98
1008;19.02.2024;2;0
1008;20.02.2024;1;11,98
1008;20.02.2024;2;0
1008;21.02.2024;1;11,98
1008;21.02.2024;2;0
1008;22.02.2024;1;11,98
1008;22.02.2024;2;0
1008;23.02.2024;1;11,98
1008;23.02.2024;2;0
1008;24.02.2024;1;11,98
1008;24.02.2024;2;0
1008;25.02.2024;1;11,98
1008;25.02.2024;2;0
1008;26.02.2024;1;11,98
1008;26.02.2024;2;0
