"﻿ORDER_NO";"SCHEDULE_ID";"BUILD_TYPE";"BUILD_SEQ";"PREV_BUILD_SEQ";"NEXT_BUILD_SEQ";"PANE";"COMP";"QTY";"WEIGHT";"MAT_ID";"GLASS_NAME";"STEP_NO";"NEXT_STEP_NO";"PREV_STEP_NO";"STEP_NAME";"PLAN_SEQ";"PLANNED_MACHINE";"WTIME";"CYCLE_TIME";"SCHEDULED_DATE";"PLANNED_SHIFT"
2577161;447511;1;1;2;0;0;0;2;1708;"";"";50000;54000;"";"Сборка специальных с\п";49;5051;0.651;5;"22.11.2023";2
2577161;447511;1;1;2;0;0;0;2;1708;"";"";54000;55000;50000;"Контроль качества";51;5400;0.333;2;"22.11.2023";2
2577161;447511;1;1;2;0;0;0;2;1708;"";"";55000;60000;54000;"Ящик";53;5500;0.001;0;"23.11.2023";1
2577161;447511;1;1;2;0;0;0;2;1708;"";"";60000;70000;55000;"Упаковка прочая";54;6000;0.003;0;"23.11.2023";1
2577161;447511;1;1;2;0;0;0;2;1708;"";"";70000;"";60000;"Погрузка";55;7000;0.011;0.016;"24.11.2023";1
2577161;447511;2;2;0;1;1;0;2;788;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.657;4;"20.11.2023";2
2577161;447511;2;2;0;1;1;0;2;788;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.412;4;"21.11.2023";1
2577161;447511;2;2;0;1;1;0;2;788;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";25000;"";21001;"Термообработка";34;2530;1.015;5;"21.11.2023";2
2577161;447511;2;3;0;1;2;0;2;394;13036;"6М1 Салават зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.542;4;"20.11.2023";2
2577161;447511;2;3;0;1;2;0;2;394;13036;"6М1 Салават зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.178;4;"21.11.2023";1
2577161;447511;2;3;0;1;2;0;2;394;13036;"6М1 Салават зак";25000;"";21001;"Термообработка";34;2530;0.309;5;"21.11.2023";2
2577161;447511;2;4;0;1;3;0;2;525;33208;"8 Standart ST зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.542;4;"20.11.2023";2
2577161;447511;2;4;0;1;3;0;2;525;33208;"8 Standart ST зак";21001;25000;1110;"МО Обработка кромки";25;2203;0.305;4;"21.11.2023";1
2577161;447511;2;4;0;1;3;0;2;525;33208;"8 Standart ST зак";25000;"";21001;"Термообработка";34;2530;0.451;5;"21.11.2023";2
2577161;447511;3;5;0;1;0;1;2;0;518;"";40000;"";"";"Гнутье рамки";47;4000;0.102;0.1;"21.11.2023";2
2577161;447511;3;6;0;1;0;2;2;0;526;"";40000;"";"";"Гнутье рамки";47;4000;0.102;0.1;"21.11.2023";2
2577161;447512;1;1;2;0;0;0;1;60;"";"";50000;55000;"";"Сборка специальных с\п";49;5050;0.207;5;"22.11.2023";2
2577161;447512;1;1;2;0;0;0;1;60;"";"";55000;60000;50000;"Ящик";52;5500;0.001;0;"22.11.2023";2
2577161;447512;1;1;2;0;0;0;1;60;"";"";60000;70000;55000;"Упаковка прочая";53;6000;0.001;0;"23.11.2023";1
2577161;447512;1;1;2;0;0;0;1;60;"";"";70000;"";60000;"Погрузка";54;7000;0.006;0.016;"24.11.2023";1
2577161;447512;2;2;0;1;1;0;1;27;41638;"8 LartaPro HP Silver 35/26Ростзак";1110;21001;"";"Резка СП (закаленное стекло)";24;1050;0.014;4;"20.11.2023";2
2577161;447512;2;2;0;1;1;0;1;27;41638;"8 LartaPro HP Silver 35/26Ростзак";21001;25000;1110;"МО Обработка кромки";25;2150;0.054;4;"21.11.2023";1
2577161;447512;2;2;0;1;1;0;1;27;41638;"8 LartaPro HP Silver 35/26Ростзак";25000;"";21001;"Термообработка";34;2530;0.035;5;"21.11.2023";2
2577161;447512;2;3;0;1;2;0;1;13;13034;"4М1 Салават зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1051;0.014;4;"20.11.2023";2
2577161;447512;2;3;0;1;2;0;1;13;13034;"4М1 Салават зак";21001;25000;1110;"МО Обработка кромки";25;2150;0.031;4;"21.11.2023";1
2577161;447512;2;3;0;1;2;0;1;13;13034;"4М1 Салават зак";25000;"";21001;"Термообработка";34;2520;0.023;5;"21.11.2023";2
2577161;447512;2;4;0;1;3;0;1;20;33206;"6 Standart ST зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.014;4;"20.11.2023";2
2577161;447512;2;4;0;1;3;0;1;20;33206;"6 Standart ST зак";21001;25000;1110;"МО Обработка кромки";25;2160;0.031;4;"21.11.2023";1
2577161;447512;2;4;0;1;3;0;1;20;33206;"6 Standart ST зак";25000;"";21001;"Термообработка";34;2500;0.025;5;"21.11.2023";2
2577161;447512;3;5;0;1;0;1;1;0;514;"";40000;"";"";"Гнутье рамки";47;4000;0.019;0.02;"21.11.2023";2
2577161;447512;3;6;0;1;0;2;1;0;512;"";40000;"";"";"Гнутье рамки";47;4000;0.019;0.02;"21.11.2023";2
2577161;447513;1;1;2;0;0;0;3;1131;"";"";50000;54000;"";"Сборка специальных с\п";49;5051;0.697;5;"22.11.2023";2
2577161;447513;1;1;2;0;0;0;3;1131;"";"";54000;55000;50000;"Контроль качества";51;5400;0.4995;2;"22.11.2023";2
2577161;447513;1;1;2;0;0;0;3;1131;"";"";55000;60000;54000;"Ящик";53;5500;0.001;0;"23.11.2023";1
2577161;447513;1;1;2;0;0;0;3;1131;"";"";60000;70000;55000;"Упаковка прочая";54;6000;0.003;0;"23.11.2023";1
2577161;447513;1;1;2;0;0;0;3;1131;"";"";70000;"";60000;"Погрузка";54;7000;0.017;0.016;"24.11.2023";1
2577161;447513;2;2;0;1;1;0;3;522;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1005;0.203;4;"20.11.2023";2
2577161;447513;2;2;0;1;1;0;3;522;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";21001;25000;1110;"МО Обработка кромки";25;2201;0.444;4;"21.11.2023";1
2577161;447513;2;2;0;1;1;0;3;522;43772;"12 LartaPro HP Neutral 60/40 Ростов зак";25000;"";21001;"Термообработка";34;2530;0.681;5;"21.11.2023";2
2577161;447513;2;3;0;1;2;0;3;261;13036;"6М1 Салават зак";1110;21001;"";"Резка СП (закаленное стекло)";24;1004;0.189;4;"20.11.2023";2
2577161;447513;2;3;0;1;2;0;3;261;13036;"6М1 Салават зак";21001;25000;1110;"МО Обработка кромки";25;2050;0.15;4;"21.11.2023";1
